"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2022","1.230","1.240","1.240","1.230","987.57K","-1.60%"
"07/01/2022","1.250","1.250","1.250","1.230","7.61M","0.81%"
"06/30/2022","1.240","1.260","1.260","1.240","3.22M","-1.59%"
"06/29/2022","1.260","1.250","1.260","1.240","2.16M","0.80%"
"06/28/2022","1.250","1.260","1.260","1.240","2.39M","0.00%"
"06/27/2022","1.250","1.260","1.270","1.250","2.01M","0.00%"
"06/24/2022","1.250","1.230","1.260","1.230","934.49K","1.63%"
"06/23/2022","1.230","1.250","1.250","1.230","8.24M","-1.60%"
"06/22/2022","1.250","1.280","1.280","1.240","1.60M","-2.34%"
"06/21/2022","1.280","1.290","1.320","1.260","6.08M","0.79%"
"06/20/2022","1.270","1.260","1.280","1.250","6.26M","0.00%"
"06/17/2022","1.270","1.290","1.300","1.270","561.36K","-0.78%"
"06/16/2022","1.280","1.270","1.300","1.270","1.51M","0.79%"
"06/15/2022","1.270","1.260","1.280","1.260","1.75M","0.79%"
